feed,title,long_url,short_url
ArXiv:cs.CR,MalNet: A Large-Scale Cybersecurity Image Database of Malicious Software,https://arxiv.org/abs/2102.01072v1,
ArXiv:cs.CR,T3AB: Transparent and Trustworthy Third-party Authority usingBlockchain,https://arxiv.org/abs/2102.01249v1,
ArXiv:cs.CR,Recent Advances in Adversarial Training for Adversarial Robustness,https://arxiv.org/abs/2102.01356v1,
ArXiv:cs.CR,Federated Learning in Smart Cities: A Comprehensive Survey,https://arxiv.org/abs/2102.01375v1,
ArXiv:cs.CR,Low-Rate Overuse Flow Tracer (LOFT): An Efficient and Scalable Algorithm for Detecting Overuse Flows,https://arxiv.org/abs/2102.01397v1,
ArXiv:cs.CR,Decentralizing Supply Chain Anti-Counterfeiting Systems Using Blockchain Technology,https://arxiv.org/abs/2102.01456v1,
ArXiv:cs.CR,TAPInspector: Safety and Liveness Verification of Concurrent Trigger-Action IoT Systems,https://arxiv.org/abs/2102.01468v1,
ArXiv:cs.CR,Differentially Private Demand Side Management for Incentivized Dynamic Pricing in Smart Grid,https://arxiv.org/abs/2102.01478v1,
ArXiv:cs.CR,VPT: Privacy Preserving Energy Trading and Block Mining Mechanism for Blockchain based Virtual Power Plants,https://arxiv.org/abs/2102.01480v1,
ArXiv:cs.CR,ADePT: Auto-encoder based Differentially Private Text Transformation,https://arxiv.org/abs/2102.01502v1,
ArXiv:cs.CR,PatternMonitor: a whole pipeline with a much higher level of automation for guessing Android lock pattern based on videos,https://arxiv.org/abs/2102.01509v1,
ArXiv:cs.CR,Robust Attack Detection Approach for IIoT Using Ensemble Classifier,https://arxiv.org/abs/2102.01515v1,
ArXiv:cs.CR,Symmetric Boolean Factor Analysis with Applications to InstaHide,https://arxiv.org/abs/2102.01570v1,
ArXiv:cs.CR,$\mathcal{E}\text{psolute}$: Efficiently Querying Databases While Providing Differential Privacy,https://arxiv.org/abs/1706.01552v2,
ArXiv:cs.CR,Incentivized Blockchain-based Social Media Platforms: A Case Study of Steemit,https://arxiv.org/abs/1904.07310v2,
ArXiv:cs.CR,Comparison of Decentralization in DPoS and PoW Blockchains,https://arxiv.org/abs/2002.02082v3,
ArXiv:cs.CR,PFirewall: Semantics-Aware Customizable Data Flow Control for Smart Home Privacy Protection,https://arxiv.org/abs/2101.10522v2,
ArXiv:cs.CR,Measuring Decentralization in Bitcoin and Ethereum using Multiple Metrics and Granularities,https://arxiv.org/abs/2101.10699v2,
ArXiv:cs.CR,Atomic Swaps between Bitcoin and Monero,https://arxiv.org/abs/2101.12332v2,
