feed,title,long_url,short_url
ArXiv:cs.CR,A Review of Intrusion Detection Systems and Their Evaluation in the IoT,https://arxiv.org/abs/2105.08096v1,
ArXiv:cs.CR,Itsy Bitsy SpiderNet: Fully Connected Residual Network for Fraud Detection,https://arxiv.org/abs/2105.08120v1,
ArXiv:cs.CR,Oneshot Differentially Private Top-k Selection,https://arxiv.org/abs/2105.08233v1,
ArXiv:cs.CR,Generic Reversible Visible Watermarking Via Regularized Graph Fourier Transform Coding,https://arxiv.org/abs/2105.08350v1,
ArXiv:cs.CR,Deep Learning-based Physical-Layer Secret Key Generation for FDD Systems,https://arxiv.org/abs/2105.08364v1,
ArXiv:cs.CR,Enabling self-verifiable mutable content items in IPFS using Decentralized Identifiers,https://arxiv.org/abs/2105.08395v1,
ArXiv:cs.CR,Model-based Cybersecurity Analysis: Past Work and Future Directions,https://arxiv.org/abs/2105.08459v1,
ArXiv:cs.CR,Privacy-Preserving Constrained Domain Generalization for Medical Image Classification,https://arxiv.org/abs/2105.08511v1,
ArXiv:cs.CR,Adaptive ABAC Policy Learning: A Reinforcement Learning Approach,https://arxiv.org/abs/2105.08587v1,
ArXiv:cs.CR,On the Robustness of Domain Constraints,https://arxiv.org/abs/2105.08619v1,
ArXiv:cs.CR,DID-eFed: Facilitating Federated Learning as a Service withDecentralized Identities,https://arxiv.org/abs/2105.08671v1,
ArXiv:cs.CR,Learning and Certification under Instance-targeted Poisoning,https://arxiv.org/abs/2105.08709v1,
ArXiv:cs.CR,HeapSafe: Securing Unprotected Heaps in RISC-V,https://arxiv.org/abs/2105.08712v1,
ArXiv:cs.CR,Timely Private Information Retrieval,https://arxiv.org/abs/2105.08713v1,
ArXiv:cs.CR,Fighting Gradients with Gradients: Dynamic Defenses against Adversarial Attacks,https://arxiv.org/abs/2105.08714v1,
ArXiv:cs.CR,Towards Federated Learning With Byzantine-Robust Client Weighting,https://arxiv.org/abs/2004.04986v2,
ArXiv:cs.CR,On the Security of Proofs of Sequential Work in a Post-Quantum World,https://arxiv.org/abs/2006.10972v4,
ArXiv:cs.CR,Formalizing Nakamoto-Style Proof of Stake,https://arxiv.org/abs/2007.12105v2,
ArXiv:cs.CR,MalFox: Camouflaged Adversarial Malware Example Generation Based on Conv-GANs Against Black-Box Detectors,https://arxiv.org/abs/2011.01509v3,
ArXiv:cs.CR,Quantum Fully Homomorphic Encryption with neither Clifford Gate Decomposition nor Real Representation,https://arxiv.org/abs/2012.04211v5,
ArXiv:cs.CR,Learning Image Attacks toward Vision Guided Autonomous Vehicles,https://arxiv.org/abs/2105.03834v2,
